A Classroom	1	Do you like a chalkboard or a whiteboard ?	a whiteboard	Why?	It's because no chalk dust disturbs students.	chalkboard 	กระดานดำ	whiteboard 	กระดานขาว						
A Classroom	2	Why is a screen useful in class ? 	"It's because illustrations,details and descriptions can be shown on it."		 	screen 	จอภาพ								
A Classroom	3	What type of teacher or instructor do you prefer ? 	a kind-hearted and resourceful teacher			teacher	ครูผู้สอน	instructor 	ครูผู้สอน						
A Classroom	4	How should students behave in class ?	"They should have good consciousness,concentration and attention while studying."			students 	"นักเรียน, นักศึกษา"								
A Classroom	5	What is a LCD projector for ? 	"for projecting photographs,films or movies onto a screen."			LCD projector 	จอฉายภาพเรืองแสง								
A Classroom	6	What shouldn't students do with their desks ?	They shouldn't dirty them or write anything on them.			desks	"โต๊ะทำงาน, โต๊ะเรียน"								
A Classroom	7	When can you raise your hand in class ? 	when I want to ask or answer a question			raise your hand	ยกมือขึ้น								
A Classroom	8	Why do you sometimes talk to the teacher ? 	It's because some explanations need to be clarified.			talk to the teacher 	พูดกับครู								
A Classroom	9	When do you resort to headphones in class ? 	when I want to practise listening to English descriptions			headphones	ชุดหูฟัง								
A Classroom	10	Can you listen to a CD alone for practice ? 	"Yes, I can."			listen to a CD 	ฟังซีดี								
A Classroom	11	When do you have to stand up in class ?	when I need to go to the toilet.			stand up	ยืนขึ้น								
A Classroom	12	Who can write on the board ? 	both students and the teacher			on the board 	เขียนบนกระดาน								
A Classroom	13	When should you sit down or take a seat ? 	after entering the classroom			take a seat 	"นั่งลง, หาที่นั่งลง"								
A Classroom	14	Why do you have to open your book ? 	because I want to read it or seek some information in it			open your book 	เปิดหนังสือ								
A Classroom	15	When do you close your book ? 	when I finish studying each time			close your book 	ปิดหนังสือ								
A Classroom	16	Where can you pick up and put down the pencil ? 	on the desk			pick up 	หยิบ	put down 	วาง						
A Classroom	17	Why is a clock necessary in class ? 	for students to learn about timing and punctuality			clock	นาฬิกา								
A Classroom	18	What are bookcases for ? 	for keeping books which students can resort to			bookcases	ชั้นวางหนังสือ								
A Classroom	19	What types of chairs should be used ? 	"movable, foldaway or convertible chairs"			chairs	เก้าอี้								
A Classroom	20	Why is a map hung on the wall ? 	for students to practise reading and understand the information on the map			map	แผนที่								
A Classroom	21	Who can look at the English alphabets in class for writing practice ? 	all students in class			alphabets	ตัวหนังสือ								
